stop_id,stop_name,stop_type,stop_status,stop_description,longitude,latitude
941,David Cloete 2,Existing IRT Stop with Temporary Pole,Active,Red Totem,18.494212362944012,-33.588368352925514
942,Foreshore 1,Existing IRT Stop,Not Active,Full Shelter,18.429117718957674,-33.91765905602818
943,Foreshore 2,Existing IRT Stop,Not Active,Temp Pole,18.429153652115815,-33.91776342009533
944,Stables Turnaround 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.539601515586124,-33.810797814107985
945,John Dreyer 1,Existing IRT Stop,Active,Totem,18.492305833037424,-33.587946816911
946,Waterfront 2,IRT Station,Active,Station,18.420557144197577,-33.9021720417963
947,Phoenix 1,IRT Station,Out of Service,Station,18.512225561116185,-33.87340973003179
948,Phoenix 2,IRT Station,Out of Service,Station,18.512204251120263,-33.87344062611493
949,Sanddrift 3,IRT Station,Active,Station,18.51031643764698,-33.88417394855469
950,Sanddrift 4,IRT Station,Active,Station,18.510199657419857,-33.88413666207943
951,Du Noon 1,IRT Station,Out of Service,Station,18.537398767803253,-33.8154308197574
952,Du Noon 2,IRT Station,Out of Service,Station,18.53742156530969,-33.815442831826346
953,Usasaza 1,IRT Station,Out of Service,Station,18.53985690959877,-33.8126614034537
954,Usasaza 2,IRT Station,Out of Service,Station,18.53987511707745,-33.812676738183015
